step	loss	lr	tok_per_s	rss_mb	per_task
65	8.283057	8.6820e-05	354.5	14065	listen=7.1045(3) speak=9.8802(3) text=7.6553(2) 
66	8.668553	8.6260e-05	293.9	14065	listen=7.3989(1) speak=9.9276(5) text=6.1559(2) 
67	8.668645	8.5690e-05	292.8	14065	listen=7.0686(3) speak=9.6287(5) 
68	8.372770	8.5111e-05	237.2	14065	listen=7.4745(5) speak=9.8699(3) 
69	8.080896	8.4523e-05	219.5	14065	listen=7.1670(4) speak=9.8702(3) text=6.3684(1) 
70	7.888443	8.3925e-05	320.8	14065	listen=7.4158(5) speak=9.8107(2) text=6.4074(1) 
71	8.393443	8.3319e-05	190.9	14065	listen=7.0097(4) speak=9.7772(4) 
72	8.874526	8.2705e-05	247.8	14065	listen=7.4764(3) speak=9.7134(5) 
73	7.603837	8.2082e-05	480.7	14065	listen=7.2784(7) speak=9.8822(1) 
74	8.166588	8.1450e-05	326.2	14065	listen=7.4196(5) speak=9.9699(2) text=8.2949(1) 
75	7.705706	8.0811e-05	426.7	14065	listen=6.6492(4) speak=9.5639(3) text=6.3571(1) 
76	8.137569	8.0164e-05	454.2	14065	listen=7.0604(4) speak=9.8719(3) text=7.2431(1) 
77	8.543034	7.9509e-05	419.0	14065	listen=7.5849(2) speak=9.7888(5) text=4.2302(1) 
78	8.500215	7.8846e-05	378.8	14065	listen=6.8441(3) speak=9.4939(5) 
79	7.357939	7.8177e-05	506.5	14065	listen=7.0255(7) speak=9.6850(1) 
80	8.791336	7.7500e-05	403.6	14065	listen=7.0592(3) speak=9.8306(5) 
81	8.701966	7.6816e-05	329.1	14065	listen=7.1715(2) speak=9.6729(5) text=6.9082(1) 
82	9.197992	7.6126e-05	313.4	14065	listen=6.8499(1) speak=9.5334(7) 
83	8.861933	7.5430e-05	431.3	14065	listen=6.8544(2) speak=9.5311(6) 
84	7.907719	7.4727e-05	507.1	14065	listen=6.9722(5) speak=9.4668(3) 
85	9.122370	7.4018e-05	358.7	14065	listen=6.7093(2) speak=9.5366(4) text=10.7070(2) 
86	8.187171	7.3303e-05	444.9	14065	listen=7.1836(3) speak=9.4196(4) text=6.2684(1) 
87	7.993717	7.2583e-05	364.2	14065	listen=7.0738(5) speak=9.5269(3) 
88	8.569296	7.1857e-05	394.8	14065	listen=7.1783(3) speak=9.4039(5) 
89	8.394091	7.1127e-05	379.3	14065	listen=7.1333(4) speak=9.6549(4) 
90	8.142856	7.0391e-05	458.8	14065	listen=6.7288(4) speak=9.5569(4) 
91	8.934472	6.9651e-05	338.5	14065	listen=7.3343(2) speak=9.4679(6) 
92	7.877869	6.8906e-05	312.2	14065	listen=6.7347(3) speak=9.4334(4) text=5.0855(1) 
93	7.919107	6.8157e-05	378.3	14065	listen=6.9194(5) speak=9.5853(3) 
94	7.874457	6.7404e-05	458.8	14065	listen=7.0622(3) speak=9.3336(3) text=6.9041(2) 
95	8.893563	6.6647e-05	415.9	14065	listen=7.0731(2) speak=9.5004(6) 
96	7.573965	6.5886e-05	428.3	14065	listen=7.0497(4) speak=9.3126(2) text=6.8838(2) 
97	8.058040	6.5123e-05	457.4	14065	listen=6.8355(3) speak=9.3616(4) text=6.5113(1) 
98	7.974485	6.4356e-05	362.1	14065	listen=7.0550(4) speak=9.4346(3) text=7.2721(1) 
99	7.359452	6.3586e-05	409.6	14065	listen=6.6814(5) speak=9.4653(2) text=6.5381(1) 
100	6.984891	6.2814e-05	518.4	14065	listen=6.6086(7) speak=9.6188(1) 
101	7.889548	6.2040e-05	263.2	14065	listen=6.8238(4) speak=9.4143(3) text=7.5782(1) 
102	7.534958	6.1263e-05	476.9	14065	listen=6.9474(5) speak=9.5487(2) text=6.4451(1) 
103	7.327379	6.0484e-05	412.5	14065	listen=6.8644(4) speak=9.2295(2) text=6.3512(2) 
104	8.420709	5.9704e-05	444.5	14065	listen=6.4586(2) speak=9.5126(5) text=6.8853(1) 
105	8.160176	5.8922e-05	249.5	14065	listen=6.7378(3) speak=9.4243(4) text=7.3710(1) 
106	7.692306	5.8139e-05	441.3	14065	listen=6.6650(4) speak=9.3350(3) text=6.8734(1) 
107	7.871068	5.7355e-05	434.1	14065	listen=6.9479(5) speak=9.4097(3) 
108	8.529530	5.6570e-05	383.8	14065	listen=7.0584(3) speak=9.4122(5) 
109	7.995103	5.5785e-05	393.7	14065	listen=6.9142(3) speak=9.3829(4) text=5.6866(1) 
110	8.118248	5.5000e-05	360.3	14065	listen=6.8856(3) speak=9.3606(4) text=6.8466(1) 
